magic=50534152 pos=258 size=512 rec_size=64
  173 dt=319      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b790:4 | st=0
  174 dt=182      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f0101ac:48  | st=0
  175 dt=257      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b794:18  | st=0
  176 dt=235      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b928:48 | st=0
  177 dt=236      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b790:4 | st=0
  178 dt=294      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b90c:28 i@2f01b928:48 o@2f01b908:4 | st=0
  179 dt=157      MAC_COMPUTE          key=40000002 alg=0380000a op=0 i@2f01b988:48 o@2f010079:48 | st=0
  180 dt=272      DESTROY_KEY          key=40000002 alg=00000000 op=0   | st=0
  181 dt=136      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f01b9dc:4  | st=0
  182 dt=130      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f00eb35:48  | st=0
  183 dt=196      HASH_COMPUTE         key=00000000 alg=0200000a op=0  o@2f01b828:48 | st=0
  184 dt=154      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b6b0:4 | st=0
  185 dt=183      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01014c:48  | st=0
  186 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b6b4:65  | st=0
  187 dt=146      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b898:48 | st=0
  188 dt=267      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b6b0:4 | st=0
  189 dt=263      KD_SETUP             key=00000000 alg=0800040a op=0  o@2f01b894:4 | st=0
  190 dt=184      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b898:48  | st=0
  191 dt=192      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b8c8:48  | st=0
  192 dt=259      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01014c:48 | st=0
  193 dt=145      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b894:4 | st=0
  194 dt=301      HASH_CLONE           key=00000000 alg=00000000 op=2 i@2f01b8fc:4 o@2f01b8fc:4 | st=0
  195 dt=237      HASH_FINISH          key=00000000 alg=00000000 op=3  o@2f01b8fc:4 o@2f01b938:48 | st=0
  196 dt=246      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b748:4 | st=0
  197 dt=161      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01014c:48  | st=0
  198 dt=144      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b74c:70  | st=0
  199 dt=146      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f00fe90:48 | st=0
  200 dt=235      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b748:4 | st=0
  201 dt=328      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b748:4 | st=0
  202 dt=246      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01014c:48  | st=0
  203 dt=131      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b74c:70  | st=0
  204 dt=146      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f00fec0:48 | st=0
  205 dt=236      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b748:4 | st=0
  206 dt=295      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b748:4 | st=0
  207 dt=163      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01014c:48  | st=0
  208 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b74c:68  | st=0
  209 dt=146      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f00fef0:48 | st=0
  210 dt=235      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b748:4 | st=0
  211 dt=296      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b778:4 | st=0
  212 dt=162      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f00fe90:48  | st=0
  213 dt=144      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b77c:13  | st=0
  214 dt=141      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b968:32 | st=0
  215 dt=235      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b778:4 | st=0
  216 dt=264      KD_SETUP             key=00000000 alg=0800050a op=0  o@2f01b778:4 | st=0
  217 dt=183      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f00fe90:48  | st=0
  218 dt=143      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b77c:12  | st=0
  219 dt=142      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b9a8:12 | st=0
  220 dt=233      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b778:4 | st=0
